Date,Temperature,Humidity,Precipitation
2023-01-01,5.2,78,0.1
2023-01-15,3.5,81,0.3
2023-02-01,6.8,74,0.2
2023-02-14,8.4,72,0.0
2023-03-01,12.5,69,0.1
2023-03-15,14.2,67,0.0
2023-04-01,17.9,64,0.0
2023-04-10,20.3,61,0.2
2023-05-01,22.8,59,0.0
2023-05-15,24.7,57,0.0
2023-06-01,28.5,54,0.0
2023-06-15,30.0,52,0.0
2023-07-01,33.2,51,0.1
2023-07-15,34.1,49,0.3
2023-08-01,32.8,64,0.0
2023-08-02,35.1,61,0.2
2023-08-03,28.0,70,0.4
2023-08-04,26.5,75,2.0
2023-08-05,29.5,63,0.0
2023-08-06,33.1,58,0.0
2023-08-07,31.4,65,0.0
2023-08-08,28.1,71,1.5
2023-08-09,25.2,79,3.0
2023-08-10,24.8,84,4.2
2023-08-11,22.6,89,4.8
2023-08-12,23.9,87,2.1
2023-08-13,26.5,74,0.0
2023-08-14,30.0,67,0.0
2023-08-15,32.7,61,0.0
2023-08-16,34.3,59,0.0
2023-08-17,31.5,66,0.3
2023-08-18,29.0,73,1.6
2023-08-19,27.4,77,2.5
2023-08-20,26.0,82,3.4
2023-08-21,24.4,86,4.0
2023-08-22,23.5,88,1.8
2023-08-23,25.7,80,0.0
2023-08-24,28.2,72,0.0
2023-08-25,30.1,65,0.0
2023-08-26,32.0,60,0.0
2023-08-27,33.5,58,0.0
2023-08-28,31.2,63,0.4
2023-08-29,29.1,69,1.1
2023-08-30,27.0,76,2.3
2023-08-31,25.0,82,3.1
2023-09-01,22.3,71,0.0
2023-09-15,24.2,68,0.1
2023-10-01,18.3,66,0.0
2023-10-15,15.8,62,0.2
2023-11-01,10.2,71,0.0
2023-11-15,8.5,73,0.3
2023-12-01,4.2,79,0.0
2023-12-15,2.7,84,0.1
